,zip,city,county,lat,long
531,92124,San Diego,San Diego,32.8201,-117.0986
532,94941,Mill Valley,Marin,37.8958,-122.5339
533,90504,Torrance,Los Angeles,33.8708,-118.3295
534,90807,Long Beach,Los Angeles,33.8315,-118.1811
535,93940,Monterey,Monterey,36.5802,-121.8443
536,92881,Corona,Riverside,33.8241,-117.5198
537,93101,Santa Barbara,Santa Barbara,34.4197,-119.7078
538,90606,Whittier,Los Angeles,33.9777,-118.0658
539,92311,Barstow,San Bernardino,34.8914,-117.0387
540,95377,Tracy,San Joaquin,37.6567,-121.4955
541,95358,Modesto,Stanislaus,37.6237,-121.0438
542,94545,Hayward,Alameda,37.6332,-122.0971
543,91006,Arcadia,Los Angeles,34.1324,-118.0264
544,92373,Redlands,San Bernardino,34.0397,-117.1804
545,95356,Modesto,Stanislaus,37.7005,-121.0252
546,95662,Orangevale,Sacramento,38.6845,-121.2256
547,92116,San Diego,San Diego,32.7624,-117.1242
548,92203,Indio,Riverside,33.7532,-116.2676
549,90803,Long Beach,Los Angeles,33.7619,-118.1341
550,93703,Fresno,Fresno,36.7684,-119.7594
551,95131,San Jose,Santa Clara,37.3864,-121.88
552,92583,San Jacinto,Riverside,33.7967,-116.9324
553,92612,Irvine,Orange,33.6607,-117.8264
554,95632,Galt,Sacramento,38.2691,-121.3
555,94043,Mountain View,Santa Clara,37.4056,-122.0775
556,93618,Dinuba,Tulare,36.5349,-119.3909
557,90008,Los Angeles,Los Angeles,34.0116,-118.3411
558,95661,Roseville,Placer,38.7346,-121.234
559,93001,Ventura,Ventura,34.3308,-119.3584
560,95482,Ukiah,Mendocino,39.1552,-123.1951
561,95117,San Jose,Santa Clara,37.3108,-121.9623
562,91214,La Crescenta,Los Angeles,34.2316,-118.2457
563,92107,San Diego,San Diego,32.7425,-117.2433
564,94103,San Francisco,San Francisco,37.7725,-122.4147
565,94608,Emeryville,Alameda,37.8365,-122.2804
566,94610,Oakland,Alameda,37.8126,-122.2443
567,94801,Richmond,Contra Costa,37.94,-122.362
568,95070,Saratoga,Santa Clara,37.2713,-122.0227
569,90028,Los Angeles,Los Angeles,34.1005,-118.3254
570,93004,Ventura,Ventura,34.2788,-119.1651
571,92173,San Ysidro,San Diego,32.5626,-117.043
572,91505,Burbank,Los Angeles,34.169,-118.3442
573,95834,Sacramento,Sacramento,38.6383,-121.5072
574,91607,Valley Village,Los Angeles,34.1672,-118.3989
575,91303,Canoga Park,Los Angeles,34.1993,-118.5983
576,96080,Red Bluff,Tehama,40.1795,-122.2383
577,91324,Northridge,Los Angeles,34.2367,-118.5466
578,90680,Stanton,Orange,33.7991,-117.9956
579,93654,Reedley,Fresno,36.6044,-119.4378
580,92405,San Bernardino,San Bernardino,34.1446,-117.3013
581,90712,Lakewood,Los Angeles,33.8512,-118.1457
582,91351,Canyon Country,Los Angeles,34.4262,-118.449
583,91356,Tarzana,Los Angeles,34.1671,-118.5414
584,92673,San Clemente,Orange,33.4615,-117.6375
585,90601,Whittier,Los Angeles,34.0011,-118.0371
586,95134,San Jose,Santa Clara,37.4087,-121.9406
587,94131,San Francisco,San Francisco,37.745,-122.4383
588,93662,Selma,Fresno,36.5695,-119.617
589,94132,San Francisco,San Francisco,37.7211,-122.4754
590,94070,San Carlos,San Mateo,37.4969,-122.2674
591,91316,Encino,Los Angeles,34.1655,-118.5175
592,96150,South Lake Tahoe,El Dorado,38.917,-119.9865
593,91731,El Monte,Los Angeles,34.0791,-118.0371
594,95824,Sacramento,Sacramento,38.5178,-121.4419
595,94589,Vallejo,Solano,38.1582,-122.2804
596,94903,San Rafael,Marin,38.0339,-122.5855
597,91803,Alhambra,Los Angeles,34.0745,-118.1434
598,92653,Laguna Hills,Orange,33.5916,-117.6985
599,92110,San Diego,San Diego,32.7635,-117.2028
600,90039,Los Angeles,Los Angeles,34.1121,-118.2594
601,95603,Auburn,Placer,38.9115,-121.08
602,93420,Arroyo Grande,San Luis Obispo,35.1661,-120.4651
603,90041,Los Angeles,Los Angeles,34.1339,-118.2082
604,91746,La Puente,Los Angeles,34.0443,-117.9862
605,91792,West Covina,Los Angeles,34.0229,-117.8975
606,92120,San Diego,San Diego,32.7958,-117.0707
607,94107,San Francisco,San Francisco,37.7621,-122.3971
608,95472,Sebastopol,Sonoma,38.3941,-122.8433
609,94580,San Lorenzo,Alameda,37.6787,-122.1295
610,94602,Oakland,Alameda,37.8011,-122.2104
611,95682,Shingle Springs,El Dorado,38.6465,-120.9641
612,94704,Berkeley,Alameda,37.8664,-122.257
613,95492,Windsor,Sonoma,38.5443,-122.8073
614,95966,Oroville,Butte,39.4877,-121.4698
615,91355,Valencia,Los Angeles,34.3985,-118.5535
616,90302,Inglewood,Los Angeles,33.9745,-118.3548
617,94585,Suisun City,Solano,38.2408,-122.042
618,94549,Lafayette,Contra Costa,37.8961,-122.1119
619,93704,Fresno,Fresno,36.7991,-119.8016
620,92316,Bloomington,San Bernardino,34.0662,-117.3993
621,95219,Stockton,San Joaquin,38.01,-121.3698
622,95829,Sacramento,Sacramento,38.4689,-121.344
623,95961,Olivehurst,Yuba,39.0861,-121.5497
624,95204,Stockton,San Joaquin,37.9743,-121.3154
